customerID,churn_probability,risk_band,recommended_action
7590-vhveg,0.813,High,Offer retention discount immediately
5575-gnvde,0.1278,Low,No action required
3668-qpybk,0.6919,Medium,Send personalized engagement email
7795-cfocw,0.1351,Low,No action required
9237-hqitu,0.8295,High,Offer retention discount immediately
9305-cdskc,0.8953,High,Offer retention discount immediately
1452-kiovk,0.6393,Medium,Send personalized engagement email
6713-okomc,0.4293,Medium,Send personalized engagement email
7892-pookp,0.7631,High,Offer retention discount immediately
6388-tabgu,0.0999,Low,No action required
9763-grskd,0.4367,Medium,Send personalized engagement email
7469-lkbci,0.033,Low,No action required
8091-ttvax,0.3277,Low,No action required
0280-xjgex,0.6416,Medium,Send personalized engagement email
5129-jlpis,0.7809,High,Offer retention discount immediately
3655-snqyz,0.2041,Low,No action required
8191-xwszg,0.0529,Low,No action required
9959-wofkt,0.1256,Low,No action required
4190-mfluw,0.4243,Medium,Send personalized engagement email
4183-myfrb,0.7622,High,Offer retention discount immediately
8779-qrdmv,0.8774,High,Offer retention discount immediately
1680-vdcww,0.0806,Low,No action required
1066-jksgk,0.5832,Medium,Send personalized engagement email
3638-weabw,0.1368,Low,No action required
6322-hrpfa,0.3206,Low,No action required
6865-jznko,0.3434,Low,No action required
6467-chfzw,0.69,Medium,Send personalized engagement email
8665-utdhz,0.7025,High,Offer retention discount immediately
5248-ygijn,0.0483,Low,No action required
8773-hhuoz,0.4161,Medium,Send personalized engagement email
3841-nfecx,0.1464,Low,No action required
4929-xihvw,0.8718,High,Offer retention discount immediately
6827-ieauq,0.1193,Low,No action required
7310-egvhz,0.5832,Medium,Send personalized engagement email
3413-bmnze,0.7928,High,Offer retention discount immediately
6234-raapl,0.0675,Low,No action required
6047-yhpvi,0.8295,High,Offer retention discount immediately
6572-adkrs,0.5147,Medium,Send personalized engagement email
5380-wjkov,0.7329,High,Offer retention discount immediately
8168-uqwwf,0.8361,High,Offer retention discount immediately
8865-tnmnx,0.1748,Low,No action required
9489-dedvp,0.1147,Low,No action required
9867-jczsp,0.0594,Low,No action required
4671-vjlcl,0.0917,Low,No action required
4080-iiard,0.7474,High,Offer retention discount immediately
3714-ntnfo,0.6418,Medium,Send personalized engagement email
5948-ujzlf,0.6161,Medium,Send personalized engagement email
7760-oypdy,0.858,High,Offer retention discount immediately
7639-liayi,0.1609,Low,No action required
2954-pibko,0.1073,Low,No action required
8012-soudq,0.7133,High,Offer retention discount immediately
9420-lojkx,0.7589,High,Offer retention discount immediately
6575-suvoi,0.4443,Medium,Send personalized engagement email
7495-ookfy,0.7948,High,Offer retention discount immediately
